Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After
Lebanon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.255,161.243,157.859,168.633,164.191,170.772,178.142,163.215,149.123,130.866,127.649,128.276,123.12,126.128,129.478,134.286,140.443,143.41,146.837,151.099,157.913,163.293,168.392,174.755,181.933,2017.0
Lesotho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.228,0.109,0.109,20.838,13.449,16.803,5.369,-2.775,-9.986,-15.874,-4.107,1.892,-2.887,-2.133,-4.164,-0.377,-1.279,-1.502,3.052,3.466,7.174,12.029,13.008,12.361,4.538,2018.0
Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.976,469.741,462.266,591.053,526.697,466.475,421.46,312.135,200.276,110.954,16.782,16.97,15.241,15.887,18.114,20.13,22.837,31.519,38.721,40.923,47.228,52.734,55.524,60.264,62.009,2018.0
Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.943,14.3,10.725,11.697,11.579,10.346,10.488,10.09,7.879,8.255,10.054,20.834,26.321,33.127,33.435,34.174,32.706,34.648,32.288,32.381,27.589,25.585,23.971,22.649,21.48,20.477,19.502,2018.0
Luxembourg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.932,-33.769,-30.28,-26.114,-25.252,-26.289,-23.101,-20.437,-13.486,-11.451,-10.704,-9.014,-10.827,-12.218,-11.845,-11.457,-10.901,-9.581,-8.408,-7.298,-6.381,-5.496,-4.649,2018.0
Malaysia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.54,73.32,64.38,55.69,47.62,41.07,0.0,0.0,0.0,0.0,0.0,0.0,43.05,45.08,42.07,42.07,40.59,40.09,39.8,50.84,49.56,50.03,51.65,53.0,52.68,54.43,53.68,50.7,51.8,51.8,53.0,55.0,54.0,53.5,53.5,0.0
Mali,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.438,78.469,42.908,37.393,36.924,42.065,13.121,13.184,15.133,12.499,17.286,17.502,21.329,20.218,19.658,23.149,29.997,30.869,33.858,33.595,33.813,34.04,34.219,34.054,33.93,2018.0
Malta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.85,61.688,55.953,52.879,54.012,57.26,57.185,58.187,57.932,58.974,53.833,49.432,42.992,37.906,33.921,0.0,0.0,0.0,0.0,0.0,0.0,2018.0
Mauritania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.565,143.918,126.941,110.486,106.105,96.257,51.282,45.587,51.587,61.468,56.195,49.279,48.752,49.546,57.692,73.521,76.279,74.386,79.811,76.151,76.861,73.368,66.23,60.872,56.033,2017.0
Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.958,37.436,34.085,33.969,36.67,35.263,32.872,31.102,29.493,28.811,32.891,36.03,36.01,37.166,37.242,39.96,42.646,46.537,48.7,45.814,44.852,45.578,46.323,46.432,46.585,46.665,46.786,2018.0
Morocco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.489,73.332,69.619,68.442,69.997,62.95,61.793,58.853,55.966,56.746,52.382,49.476,44.734,45.452,48.493,52.137,56.007,61.216,62.838,63.085,64.371,64.744,64.698,65.046,64.287,62.911,61.693,60.652,59.748,2018.0
Namibia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.194,15.878,17.697,18.789,17.995,20.447,20.85,18.59,21.909,19.445,25.016,26.955,24.001,19.528,10.671,8.538,8.77,13.084,20.725,18.047,21.533,25.604,34.761,39.679,38.702,43.011,46.391,48.118,50.388,52.024,53.419,55.106,2019.0
Netherlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.96,54.072,50.801,48.075,44.773,39.004,37.529,37.774,39.45,40.261,38.603,36.127,33.317,38.504,41.098,45.874,48.563,52.093,53.687,54.876,52.841,51.027,46.146,42.482,41.983,40.213,38.27,36.251,34.251,32.199,2018.0
New Zealand,0.0,0.0,0.0,0.0,153.525,125.881,102.863,77.073,64.696,59.706,58.049,67.422,70.989,63.278,52.586,42.771,35.602,32.085,31.231,29.086,30.284,27.109,23.181,18.429,12.885,7.506,2.842,-0.749,-2.179,1.079,4.724,8.788,10.823,10.992,10.355,9.85,9.098,7.958,7.979,8.187,8.072,7.896,7.791,6.551,3.822,2018.0
Niger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.655,80.978,91.102,81.658,83.73,109.834,95.61,88.189,73.877,69.013,61.74,20.709,17.891,10.807,17.048,16.508,16.408,19.554,20.365,22.621,34.559,40.074,48.65,49.843,51.968,50.728,49.207,45.303,43.649,41.537,2017.0
Nigeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315,4.131,6.323,12.61,10.792,11.741,13.768,15.878,19.002,20.938,23.063,26.047,27.982,29.604,31.164,32.617,33.789,2018.0
North Macedonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.52,38.815,35.263,33.79,32.637,30.663,29.597,22.313,19.82,18.593,20.849,21.486,26.072,29.491,30.231,33.704,36.134,37.116,38.845,39.22,39.561,39.966,40.351,40.64,40.765,40.806,2018.0
Norway,0.115,-0.647,-1.388,-2.455,-3.656,-4.663,-6.073,-6.181,-10.493,-10.221,-10.206,-12.091,-11.324,-10.44,-9.888,-13.148,-14.49,-16.489,-18.263,-19.223,-22.008,-30.378,-30.087,-34.359,-39.329,-45.331,-53.182,-50.94,-48.907,-43.855,-47.436,-48.367,-50.09,-61.366,-76.03,-87.174,-85.905,-81.013,-71.52,-86.399,-90.527,-95.672,-100.837,-105.927,-111.11,2018.0
Oman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.954,-10.092,-6.299,2.065,11.728,11.972,13.441,10.988,22.139,22.132,6.079,3.112,0.011,-4.229,-7.908,-17.633,-18.964,-23.607,-17.424,-22.189,-19.57,-16.807,-15.646,-28.837,-27.641,-22.769,-0.959,13.413,32.187,38.966,44.868,47.871,53.716,60.064,66.197,2018.0
Pakistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.336,72.71,66.319,59.465,54.413,48.496,46.953,52.685,54.486,56.549,55.845,59.22,60.13,58.034,58.244,61.259,61.492,66.79,72.521,75.161,73.161,69.961,66.795,63.514,2018.0
Panama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.218,79.462,67.403,62.386,60.255,57.158,55.538,59.928,59.057,47.541,51.772,53.315,50.553,43.839,36.814,35.424,34.912,33.354,32.069,31.306,33.693,34.816,34.882,35.32,37.406,39.361,39.992,39.671,39.096,38.507,37.938,2018.0
Paraguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.112,38.267,52.755,38.052,28.195,22.408,16.245,12.45,11.116,9.883,7.537,5.859,8.944,9.675,10.928,14.777,15.603,15.947,18.351,20.953,20.49,20.072,19.861,19.62,19.625,2018.0
Peru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.68,37.06,38.128,38.672,34.958,31.966,24.091,16.743,12.994,12.202,10.239,6.063,2.788,1.503,2.685,5.306,6.951,8.725,10.213,11.25,12.063,12.27,12.439,12.634,12.819,2018.0
Poland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.758,38.95,38.995,35.155,35.377,31.895,31.919,36.08,41.215,39.352,40.202,41.016,36.744,38.978,42.848,47.292,48.308,47.864,50.877,44.571,46.494,47.924,44.592,42.324,42.979,42.505,42.299,42.264,42.325,42.594,2018.0
Portugal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.976,50.573,46.24,42.718,41.569,41.495,44.375,46.33,49.978,53.595,58.177,59.425,60.54,64.053,76.057,82.219,102.951,115.745,118.262,120.459,121.455,120.05,116.526,114.142,112.094,108.352,105.278,101.514,97.617,93.865,2018.0
Romania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.689,16.269,16.084,15.36,10.692,8.11,3.819,5.129,8.036,15.277,22.919,27.421,28.983,29.586,29.721,29.673,27.719,28.33,28.291,29.146,30.404,31.739,33.11,34.377,35.378,2018.0
Russia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.1,55.7,44.3,37.5,28.3,20.8,14.8,9.8,7.2,6.5,8.3,9.0,9.5,10.5,11.3,14.4,13.6,12.9,15.5,14.6,14.6,17.2,18.5,21.0,0.0,0.0,2018.0
Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.96,46.109,56.526,65.469,71.621,72.546,73.991,97.932,99.349,83.635,91.301,93.579,78.706,56.684,22.311,6.084,-10.296,-37.923,-38.318,-36.912,-36.992,-47.12,-50.869,-47.056,-35.908,-17.115,-7.679,-0.087,6.763,13.709,21.938,28.744,34.704,39.425,2018.0
Serbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.463,104.457,72.558,67.92,58.582,46.696,30.522,25.166,27.185,29.048,36.71,38.661,48.611,49.704,63.396,67.993,66.516,56.588,52.632,50.689,47.616,44.742,42.342,40.069,37.716,2018.0
Seychelles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.4,187.461,169.824,154.596,137.29,125.92,140.055,188.184,101.809,76.138,77.43,67.565,56.371,55.363,48.985,50.897,48.473,43.613,41.977,39.21,36.539,33.707,31.334,29.773,2018.0
Slovenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.706,19.933,19.092,15.035,13.669,21.079,26.673,32.221,36.521,45.182,46.513,50.386,52.396,51.958,46.03,0.0,0.0,0.0,0.0,0.0,0.0,2018.0
Solomon Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.177,48.058,42.681,39.032,35.435,30.896,28.125,9.875,-0.218,-3.157,-6.306,-9.996,-8.025,-6.401,-3.413,-2.926,-0.139,2.454,4.872,9.543,15.049,19.345,2017.0
South Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.5,42.022,35.093,34.755,33.591,28.687,25.895,22.85,21.74,25.37,28.514,31.333,34.84,37.94,40.724,43.566,45.406,47.77,51.049,55.313,60.276,64.172,67.479,70.641,73.722,2018.0
Spain,0.0,0.0,0.0,0.0,0.0,24.803,27.844,28.428,29.044,28.572,29.355,30.715,33.258,38.153,43.74,55.183,58.88,58.729,56.191,53.003,47.718,44.883,41.37,38.789,36.06,31.904,26.79,22.358,25.311,36.324,45.798,56.258,71.5,80.832,85.215,85.269,86.123,84.7,83.101,82.831,82.058,81.242,80.535,79.773,79.01,2018.0
St. Vincent and the Grenadines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.405,56.519,53.495,52.016,57.263,50.253,43.47,41.534,42.079,56.418,57.226,55.355,54.23,52.257,60.351,64.094,63.533,52.378,53.956,60.546,62.404,65.768,69.566,71.435,75.942,75.939,79.63,70.641,71.381,69.17,67.65,65.987,64.534,63.258,62.229,2018.0
Sweden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.34,50.997,44.762,46.54,50.178,50.874,43.748,24.494,30.411,29.407,29.394,28.64,26.481,20.8,15.706,13.563,14.429,13.398,11.711,11.39,11.586,11.36,11.11,8.832,6.095,5.609,5.125,4.59,4.14,3.716,3.431,3.001,2018.0
Switzerland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.458,14.617,18.271,21.063,23.628,25.602,27.702,29.575,30.659,34.718,34.803,35.741,39.67,39.722,45.674,42.573,37.317,30.024,27.123,25.594,24.198,24.395,23.95,22.924,23.055,23.265,22.714,21.527,20.84,18.943,17.625,16.318,15.022,13.699,12.442,2017.0
Syria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.297,163.215,151.503,148.736,136.865,123.898,109.333,111.647,115.287,107.641,112.85,105.766,95.696,95.147,85.38,31.24,28.817,27.041,21.688,17.937,18.807,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0
Taiwan Province of China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.073,17.539,21.782,24.289,28.13,27.758,30.146,31.411,32.03,31.236,30.172,31.381,34.71,34.855,36.328,37.299,37.116,35.948,34.67,34.288,33.609,33.179,31.7,30.381,28.866,27.34,25.752,24.142,2018.0
Trinidad and Tobago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.808,26.605,25.298,19.215,11.129,-3.491,-10.849,-6.968,-12.005,-10.393,-12.277,-3.942,-8.995,-12.708,-15.412,-18.693,-7.465,-9.288,-9.191,-5.094,-1.839,1.575,5.401,8.999,12.344,2018.0
Turkey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.712,45.941,43.233,43.719,61.012,46.788,72.695,65.905,58.208,51.601,43.82,37.409,31.857,32.324,37.44,34.895,31.109,27.47,25.949,23.828,22.96,23.436,22.279,24.118,24.448,24.882,25.801,27.119,28.475,29.515,2018.0
United Arab Emirates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,3.1,2.7,3.6,4.4,5.6,6.6,6.8,7.9,12.5,24.0,21.9,17.4,17.0,15.7,15.5,|8.7,20.2,19.7,18.6,18.6,25.0,22.0,18.9,0.0,0.0,2018.0
United Kingdom,40.903,43.156,42.946,41.505,42.021,41.687,40.61,37.882,34.116,28.778,25.691,24.746,26.234,30.54,35.627,39.575,42.591,39.573,37.514,36.454,31.019,29.846,30.262,31.769,34.668,35.847,36.317,36.642,43.855,57.021,68.05,72.493,75.549,76.823,78.754,79.286,78.842,77.519,77.469,76.07,75.419,75.173,74.888,74.403,73.891,2018.0
United States,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.102,36.502,39.137,47.72,46.37,44.845,45.022,51.906,62.703,70.002,76.588,80.37,80.815,80.404,80.276,81.586,81.562,80.034,80.932,83.917,85.99,89.78,92.269,94.429,2018.0
Uruguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.238,35.496,33.007,31.982,41.47,43.244,45.248,49.714,49.7,49.491,52.383,53.02,53.173,53.174,54.417,55.47,55.951,2018.0
Venezuela,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.9,66.9,59.9,40.1,31.4,31.2,28.2,31.7,55.0,55.8,42.2,35.6,25.7,26.4,20.3,27.6,36.5,50.6,58.1,72.3,63.5,31.1,31.4,23.0,23.0,23.0,50.0,60.0,65.0,0.0,0.0,2018.0
Yemen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.301,93.994,56.422,54.377,49.96,52.167,45.466,37.065,32.999,35.236,31.422,43.633,38.275,42.34,45.276,46.712,47.788,64.458,78.516,83.338,64.115,55.75,56.366,43.163,35.769,30.179,22.263,2017.0
Zambia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.889,21.893,21.737,23.921,19.262,13.093,21.604,17.601,16.284,16.466,15.944,16.417,20.061,25.19,31.758,56.087,51.331,55.921,67.028,77.729,82.437,85.543,86.15,86.258,85.454,2017.0
Greece,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,101.3,99.5,97.4,98.9,100.0,10.1,104.9,101.5,102.4,107.4,102.0,103.0,109.4,126.7,146.2,172.1,159.6,177.4,175.9,175.9,173.5,176.2,181.2,175.0,182.5,183.2,183.6,157.17,154.13,2018.0
