Suma de ECI,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,-0.206609,-0.009312,0.121919,0.178804,0.205069,0.351906,0.321518,0.314459,0.240257,0.337624,0.261837,0.239749,0.064876,0.019909,0.029384,0.079735,0.103098,0.171701,0.242111,0.186049,0.072258,-0.324174,-0.110733,-0.124289,-0.114968,-0.220272,-0.140966,-0.124758,-0.099741,-0.106833,-0.040386,-0.006738,-0.09217,-0.183695,-0.234772,-0.23064,-0.221969,-0.314302,-0.397476,-0.408678,-0.353519,-0.260139,-0.295499,-0.227969,-0.119904,-0.174861,-0.207441,-0.390539,-0.293485,-0.505798,-0.412311,-0.555447,-0.57015,-0.616793,-5.155073
Guinea,-0.820637,-1.13762,-1.22868,-1.0714,-1.09043,-1.16134,-1.102,-0.846298,-1.08984,-0.884032,-1.27342,-1.36993,-1.7674,-2.19914,-1.96201,-2.18704,-1.76414,-1.69511,-1.74614,-2.18468,-2.05419,-1.72045,-1.46967,-1.82425,-1.72938,-1.78419,-1.51676,-1.36752,-1.17895,-1.28595,-1.216,-1.27707,-1.34948,-1.64311,-1.76458,-1.80391,-1.70685,-1.76285,-1.72383,-1.59046,-1.3383,-1.23361,-1.22219,-1.53055,-1.58997,-1.71668,-1.82734,-1.72675,-1.66077,,-2.17828,-1.22835,-1.44215,-1.51688,-80.562557
Honduras,-0.245086,-0.26032,-0.29557,-0.333715,-0.197737,-0.20942,-0.177444,-0.273195,-0.409435,-0.444479,-0.216776,-0.315171,-0.410047,-0.316132,-0.398216,-0.579062,-0.525357,-0.524518,-0.423259,-0.626635,-0.608498,-0.409386,-0.678372,-0.616688,-0.669397,-0.681549,-0.518993,-0.42832,-0.369167,-0.581544,-0.603182,-0.647264,-0.716076,-0.695074,-0.756757,-0.688814,-0.618441,-0.730843,-0.784403,-0.656674,-0.566724,-0.676137,-0.74113,-0.623958,-0.634949,-0.726013,-0.687012,-0.690727,-0.398168,-0.429599,-0.370913,-0.844833,-0.765916,-0.744556,-28.541651
Hong Kong,1.32078,1.23144,1.29783,1.28684,1.28635,1.26272,1.28574,1.22027,1.24999,1.37248,1.14592,1.15176,0.968926,0.889431,0.911861,0.928507,0.899815,0.830525,0.837076,0.922926,1.0832,0.99998,0.950709,0.942748,0.949503,0.898704,0.882933,0.883499,0.909419,0.613528,0.527659,0.594131,0.471498,0.489159,0.326658,0.341021,0.466488,0.617995,0.588883,0.549568,0.567609,0.574415,0.5907,0.527091,0.582715,0.498958,0.508935,0.801652,1.09895,1.26313,1.35236,0.426902,0.520167,0.594188,46.296242
Hungary,1.08002,1.18797,1.23699,1.20968,1.10248,1.02343,1.01005,1.01019,0.977467,0.962564,0.927532,0.966144,0.806986,0.854007,0.911598,0.944537,0.927901,0.950599,0.961064,0.822882,0.755505,0.782787,0.690656,0.739834,0.847892,0.833217,0.808804,0.805335,0.859383,0.856917,0.929671,1.00057,0.916166,0.92667,0.876291,0.780762,0.866768,0.992979,1.06683,1.11232,1.15856,1.17404,1.2364,1.30326,1.35814,1.3362,1.39419,1.53397,1.52192,1.43941,1.38229,1.35493,1.37204,1.38444,56.273238
India,-0.101997,-0.042813,0.027834,-0.103239,-0.069321,0.052822,0.146517,0.151577,0.111218,0.092628,0.170085,0.235067,0.260826,0.285061,0.272973,0.25889,0.27281,0.282423,0.265235,0.009795,0.231607,0.209181,0.200489,0.199895,0.126991,0.134137,0.229328,0.214645,0.189609,0.025898,-0.024145,0.066093,0.034912,0.101682,0.118969,0.196844,0.210091,0.285222,0.216505,0.176804,0.152537,0.158145,0.167513,0.168601,0.195512,0.156613,0.111379,0.091946,0.144541,-0.134587,-0.014696,0.254162,0.31413,0.359807,7.848751
Indonesia,-1.16868,-1.27578,-1.23754,-1.12068,-1.10962,-1.0897,-1.26172,-1.35609,-1.4636,-1.34541,-1.57939,-1.65005,-1.82354,-1.66825,-1.36404,-1.58526,-1.66024,-1.64905,-1.59288,-1.40417,-1.30602,-1.27708,-1.19011,-1.11041,-0.8393,-0.703247,-0.592783,-0.40801,-0.490949,-0.506392,-0.489321,-0.366439,-0.386413,-0.263329,-0.237833,-0.178447,-0.118525,-0.006918,-0.011234,-0.015577,-0.079228,-0.03753,-0.118449,-0.08396,-0.020326,-0.071984,-0.12726,-0.143199,-0.087123,-0.160233,-0.102013,-0.382548,-0.359668,-0.305644,-40.983192
Iran,-0.627008,-0.662454,-0.774142,-0.80783,-0.823465,-0.76819,-0.82755,-0.805196,-0.832824,-1.17204,-1.38935,-1.42703,-1.37322,-1.42882,-1.23625,-1.31155,-1.38935,-1.11731,-1.19522,-1.27293,-1.12454,-1.09122,-1.23982,-1.33492,-1.19445,-1.21948,-1.28483,-1.22017,-1.44223,-1.32054,-1.15496,-0.972758,-0.854963,-0.731991,-0.760938,-0.816195,-0.943975,-0.875579,-0.837151,-0.853785,-0.881575,-0.898796,-0.79443,-0.750568,-1.04616,-1.04947,-1.03542,-1.00321,-0.886393,-0.934617,,,-0.157821,-0.158038,-52.112722
Ireland,0.940408,0.989011,1.01241,1.06419,0.948167,0.879141,0.967741,1.00326,0.966161,1.01993,1.04279,1.07572,0.930576,0.950345,1.13131,1.1536,1.21233,1.27098,1.23034,1.19683,1.30511,1.34516,1.34901,1.34749,1.44454,1.47318,1.4374,1.4218,1.41595,1.43868,1.41344,1.31883,1.34091,1.37233,1.49523,1.39659,1.44934,1.45836,1.55977,1.62751,1.51601,1.3506,1.37041,1.29819,1.35691,1.37428,1.33093,1.1731,1.24971,1.28901,1.22044,1.35298,1.40903,1.40023,68.0877
Israel,0.914502,0.989905,0.772181,0.647967,0.627411,0.712611,0.617849,0.64909,0.692241,0.747705,0.77872,0.875202,0.815083,0.876125,0.856037,0.781789,0.841083,1.07216,1.08025,1.13583,1.16666,1.24422,1.18827,1.17349,1.09227,1.17841,1.15976,1.15167,1.08292,1.23457,1.22134,1.11366,1.07941,1.11492,1.14711,1.15445,1.22578,1.19289,1.10809,1.04926,1.1044,1.0958,1.04361,1.08661,1.21518,1.19138,1.09395,1.21174,1.27127,1.22703,1.14081,1.23759,1.27878,1.3146,56.075641
Italy,1.81334,1.80755,1.74434,1.86891,1.81562,1.80442,1.84658,1.81948,1.8205,1.79484,1.73502,1.66015,1.55495,1.57614,1.6234,1.69198,1.64847,1.62263,1.64022,1.65406,1.67749,1.78471,1.71372,1.73112,1.70263,1.6687,1.71993,1.71832,1.80255,1.73817,1.73744,1.68699,1.63958,1.55468,1.47994,1.49433,1.48962,1.52985,1.48036,1.37375,1.3861,1.39804,1.34865,1.29984,1.3267,1.35289,1.34589,1.33488,1.31024,1.21525,1.24155,1.11574,1.10767,1.11743,85.16735
Jamaica,-0.168693,-0.149621,-0.386714,-0.456648,-0.343456,-0.358714,-0.259814,-0.207051,-0.205072,0.028676,0.107055,-0.01524,0.082339,0.039221,0.111522,-0.108446,-0.078034,-0.013388,-0.066094,-0.132885,-0.006167,0.005884,-0.059726,-0.340469,-0.237738,-0.257262,-0.23057,-0.3999,-0.285032,-0.394466,-0.569588,-0.64307,-0.740573,-0.679477,-0.605535,-0.673412,-0.737476,-0.616227,-0.636068,-0.538303,-0.294213,-0.307798,-0.427749,-0.281016,-0.122977,-0.185574,-0.177172,-0.215289,-0.349499,-0.64931,-0.787602,-0.285952,-0.258965,-0.239734,-15.809082
Japan,2.05183,1.93529,1.87131,1.85351,1.92797,1.94451,1.97001,1.93272,1.98772,2.06442,1.89414,1.88449,1.71844,1.79081,1.83684,1.94395,1.88833,1.83755,1.81597,1.85998,2.15818,2.2608,2.32645,2.39976,2.36731,2.38974,2.39134,2.44302,2.49215,2.41259,2.54183,2.55927,2.62482,2.53902,2.48434,2.51283,2.53454,2.52662,2.61165,2.45075,2.47862,2.46767,2.40412,2.34652,2.23856,2.17852,2.11934,2.31329,2.32408,2.37352,2.31842,2.29751,2.27406,2.30938,119.48041
Jordan,0.288584,0.348411,0.378245,0.421167,0.495193,0.596004,0.597902,0.689381,0.319037,0.350396,0.359079,0.640662,1.04364,1.14715,1.10643,1.0003,0.90679,0.758856,0.820758,0.797023,0.838695,0.768842,0.518866,0.461162,0.519375,0.571932,0.329789,0.325138,-0.017063,-0.012239,0.002117,-0.026579,-0.028269,0.060741,0.156842,0.199525,0.225435,0.259856,-0.130406,-0.113429,0.012317,-0.044752,0.009857,0.116103,0.072889,0.243351,0.244437,0.161675,0.216056,-0.140418,-0.010019,-0.0543591,-0.101439,-0.149852,18.5511839
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.420723,-0.150128,-0.170424,0.059747,0.320195,0.170617,0.133409,-0.153616,-0.260106,-0.296089,-0.213565,-0.102081,-0.271761,-0.249486,-0.208866,-0.340398,-0.457024,-0.358499,-0.463165,-0.853388,-0.787489,-0.961147,-1.00924,0.0243757,0.157371,0.0883664,-6.7731139
Kenya,-0.980498,-0.91973,-0.848143,-0.785431,-0.731571,-0.752076,-0.574831,-0.289811,-0.374348,-0.385182,-0.511042,-0.542436,-0.384282,-0.319238,-0.262464,-0.35219,-0.319034,-0.389878,-0.490322,-0.897006,-0.88951,-0.852445,-0.921978,-0.858609,-0.973226,-1.03404,-0.977025,-0.831707,-0.976501,-0.960591,-0.798098,-0.61515,-0.555286,-0.667525,-0.662768,-0.601449,-0.605449,-0.513933,-0.653247,-0.575552,-0.701251,-0.6198,-0.703524,-0.680229,-0.50892,-0.515603,-0.462247,-0.610053,-0.580113,-0.616658,-0.51908,-0.690631,-0.705736,-0.747829,-35.295276
Kuwait,-0.637334,-0.804301,-0.878879,-0.924902,-1.10223,-0.991073,-0.916529,-0.707222,-0.530043,-0.580382,-0.671988,-0.478695,0.997675,0.938192,0.66765,0.034041,0.110441,0.150772,0.191197,0.16749,-0.216007,-0.617154,0.10631,-0.187616,0.32521,0.220934,-0.142634,-0.676866,-0.586543,-0.37915,-0.534725,-0.907519,-0.637936,-0.456562,-0.548267,-0.517091,-0.386139,-0.407039,-0.300179,-0.156717,-0.11916,-0.268955,-0.163299,-0.350656,-0.576707,-0.561737,-0.273291,-0.296786,-0.436697,-1.49314,-0.836979,0.25958,0.235139,0.11607,-17.738428
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.430339,-0.33118,-0.286814,-1.048333
Laos,,,,,-0.815614,-0.923599,-0.641542,-0.73136,-0.92082,-0.866594,-0.909832,-0.714096,-0.68125,-0.15913,-0.116997,-0.110284,0.013824,0.088764,-0.015012,-0.501314,-0.295409,-0.041721,-0.29169,-0.400541,-0.588246,-0.278497,-0.438861,-0.62024,-0.864734,-0.781282,-0.703118,-0.817567,-0.54968,-0.647999,-0.57976,-0.806781,-1.05256,-0.928956,-0.789641,-0.843126,-1.01988,-0.891806,-0.883054,-0.820657,-0.903238,-0.957344,-0.991139,-1.01474,-1.05514,,,-1.21682,-1.19835,-1.25108,-32.528513
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.092093,-0.043451,-0.149621,0.046373,0.247579,0.24158,0.265352,0.314476,0.181396,0.174325,0.180464,0.311667,0.309156,0.427594,0.532376,0.549968,0.61794,0.60544,0.626987,0.600318,0.571625,0.478137,0.431584,0.629273,0.649569,0.653054,9.361068
Lebanon,-0.132,0.099963,0.201751,0.517729,0.490028,0.533752,0.647574,0.599343,0.631402,0.695391,0.761648,0.712371,0.922862,0.978699,0.932121,0.67831,0.581226,0.587277,0.666476,0.600643,0.593993,0.47897,0.557421,0.460734,0.402064,0.259094,0.222896,0.114161,0.110669,0.096162,0.126785,0.055535,-0.042066,0.014512,0.002854,-0.105666,0.009897,0.081991,0.013337,-0.056157,-0.017576,0.113553,0.169187,0.298636,0.330028,0.365837,0.253783,0.293449,0.281872,0.107992,0.177455,0.11624,0.0486427,0.0803256,17.7231763
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.719266,-0.98089,-0.854269,-2.554425
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.26778,-0.965428,-2.233208
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.117757,0.159148,0.07006,0.063567,0.262575,0.282998,0.328792,0.30198,0.279794,0.192432,0.161984,0.164931,0.196164,0.309178,0.448797,0.521501,0.571855,0.518934,0.549397,0.64032,0.722513,0.673455,0.63807,0.667051,0.627923,0.675449,10.146625
Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.402287,0.237408,0.251441,0.167876,0.132217,0.07125,-0.023729,-0.014313,0.004857,-0.069498,-0.172163,-0.062273,-0.107521,-0.191644,-0.17045,-0.147629,-0.093479,-0.074848,-0.165571,-0.146735,-0.323051,-0.216515,-0.39802,-0.379236,-0.290303,-1.779642
Madagascar,-0.973703,-1.00486,-1.00572,-1.04663,-1.0524,-1.05855,-1.00788,-0.962487,-0.889362,-0.937656,-1.04524,-1.1211,-1.26861,-1.26945,-1.28706,-1.21443,-1.10889,-0.979658,-1.25712,-1.36143,-1.27543,-1.24666,-1.39296,-1.29,-1.29093,-1.29473,0.075262,0.013554,-0.151469,-1.15521,-1.08774,-1.0196,-1.14395,-1.12751,-1.159,-1.1058,-1.16221,-1.08675,-1.15522,-1.20383,-1.20019,-1.18539,-1.11331,-1.08764,-0.98895,-0.99845,-1.02866,-0.831354,-0.726138,-0.823322,-0.820193,-1.49269,-1.47536,-1.45882,-57.342886
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.438195,-0.468412,-0.768715,-1.675322
Malaysia,-0.685239,-0.737625,-0.702983,-0.500469,-0.439566,-0.579548,-0.678805,-0.882138,-0.719569,-0.86161,-0.583411,-0.574961,-0.415963,-0.291443,-0.195103,-0.304213,-0.364096,-0.39127,-0.301706,-0.158291,0.22436,0.135335,0.023944,-0.013715,-0.05365,-0.043857,0.077114,0.1658,0.252923,0.115417,0.02807,0.258514,0.330865,0.454003,0.440481,0.471149,0.64597,0.615196,0.734542,0.753853,0.854059,0.795607,0.781241,0.716039,0.691407,0.624253,0.588052,0.791729,0.91952,0.810485,0.828817,0.938148,0.995461,0.971372,6.554495
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.29791,-0.99785,-0.767797,-3.063557
Mauritania,-0.368982,-0.389639,-1.11776,-1.15008,-1.01189,-0.541496,-0.604379,-0.632401,-0.934725,-0.905246,-0.929071,-0.661912,-0.805415,-0.761595,-1.10609,-1.39294,-1.24662,-1.25527,-0.934538,-1.38224,-1.37713,-1.04673,-0.939791,-0.993936,-1.29351,-1.30447,-1.46739,-1.20645,-1.37675,-1.18484,-1.14335,-1.22374,-1.32609,-1.13999,-1.13432,-0.758452,-0.730751,-0.797881,-0.951643,-0.976701,-1.53823,-1.22737,-1.73472,-1.82521,-1.78088,-1.80625,-1.79613,-1.86292,-1.6776,,,,-0.833422,-0.963114,-57.55205
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.666129,-0.638339,-0.579654,-1.884122
Mexico,0.048574,0.088726,0.220775,0.031729,0.036176,0.113615,0.256898,0.348713,0.319915,0.352259,0.583489,0.646014,0.643311,0.662488,0.600371,0.533398,0.448728,0.483624,0.37141,0.350078,0.392398,0.41919,0.465516,0.649492,0.720238,0.71601,0.766842,0.684291,0.805366,0.807204,0.826065,0.785075,0.713387,0.742549,0.698187,0.78642,0.948962,0.905129,0.958907,1.02195,0.978828,0.986745,1.10303,1.06339,1.08324,0.995923,1.00189,1.00796,0.954246,0.846744,0.953003,1.15387,1.16038,1.09955,36.342268
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.546565,0.542856,0.360477,0.284536,0.209032,0.180126,0.087567,-0.067187,-0.079771,-0.058476,-0.019165,0.042335,-0.019115,-0.071912,-0.133663,-0.072815,-0.027445,-0.045761,-0.016908,0.049706,0.115221,-0.019913,-0.103664,-0.388113,-0.475939,-0.464417,0.354157
Mongolia,,,,,,,,,,,0.297181,0.300554,0.539567,0.712628,0.6664,0.517489,0.186925,0.175424,-0.142225,-0.148033,-0.268388,-0.318123,-0.48517,-0.345683,-0.186588,-0.348805,-0.502122,-0.3254,-0.374954,-0.293334,-0.451942,-0.540687,-0.635697,-0.671654,-0.72326,-0.818503,-0.725388,-0.735884,-0.746776,-0.681431,-0.865264,-0.924295,-0.971723,-1.03852,-0.996349,-0.920288,-1.0525,-1.20509,-1.35158,-1.67769,-1.55696,-0.851358,-0.767706,-0.78801,-22.041212
Morocco,-0.169306,-0.127142,-0.249372,-0.34405,-0.387013,-0.411634,-0.315138,-0.194403,-0.18728,-0.26061,-0.329085,-0.223595,-0.229217,-0.171619,-0.153656,-0.155585,-0.167354,-0.167639,-0.136266,-0.156858,-0.139479,-0.165684,-0.197346,-0.334159,-0.299073,-0.418674,-0.384117,-0.367125,-0.359833,-0.504796,-0.668407,-0.618859,-0.768595,-0.720285,-0.786999,-0.717755,-0.656,-0.703032,-0.676159,-0.76984,-0.648625,-0.48776,-0.504934,-0.522127,-0.422183,-0.495026,-0.543964,-0.509268,-0.535805,-0.774475,-0.559651,-0.877951,-0.861004,-0.89235,-23.428162
Mozambique,-0.908401,-1.02569,-0.925499,-0.960654,-0.869069,-0.821813,-0.80825,-0.795592,-0.900928,-0.73104,-0.746801,-0.85923,-1.01832,-1.00105,-0.918985,-0.484657,-0.580247,-0.623075,-0.47178,-0.42297,-0.411569,-0.315261,-0.19087,-0.051954,-0.345335,-0.374334,-0.280503,-0.202467,-0.064139,-0.153745,-0.26666,-0.45673,-0.831413,-0.569856,-0.642561,-0.134453,-0.308848,-0.754133,-0.949386,-1.20899,-1.34734,-1.1731,-1.2241,-1.27774,-1.30539,-1.27566,-1.34061,-1.3111,-1.16195,-1.22607,-1.2084,-1.18598,-1.18114,-1.24908,-41.854918
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.811299,-0.753271,-0.663161,-0.554921,-0.655761,-0.805754,-0.846134,-0.936692,-0.64927,-0.455053,-0.528921,-0.602309,-0.241151,-0.328879,-0.381863,,,,-9.214439
Netherlands,1.37968,1.37785,1.33897,1.33455,1.30488,1.28544,1.28366,1.24771,1.24832,1.2507,1.1773,1.13294,1.01535,1.06845,1.07978,1.16236,1.14066,1.15826,1.11056,1.0928,1.10124,1.22685,1.25089,1.23651,1.25419,1.256,1.20143,1.26567,1.35762,1.34249,1.38627,1.31958,1.33851,1.28338,1.2877,1.27953,1.31034,1.23203,1.15767,1.21646,1.18126,1.18347,1.09357,1.09737,1.10431,1.04799,1.09691,0.952353,0.885129,0.818227,0.756212,1.31596,1.28874,1.30343,64.619511
New Zealand,0.214995,0.276908,0.291451,0.23008,0.116224,0.122129,0.136762,0.22548,0.353045,0.462662,0.405668,0.293033,0.190948,0.262797,0.290817,0.293272,0.287538,0.417413,0.411588,0.39262,0.488338,0.492142,0.529792,0.417875,0.34395,0.355489,0.318537,0.386536,0.285451,0.369015,0.424029,0.44124,0.33429,0.34167,0.359696,0.291932,0.27661,0.255177,0.192239,0.25454,0.287348,0.334674,0.348336,0.340088,0.314978,0.224349,0.14369,0.064004,0.166665,-0.096978,-0.119421,0.59338,0.488085,0.483484,16.40666
Nicaragua,-0.714044,-0.295313,-0.196804,0.02291,0.080425,0.111926,0.237144,0.158069,0.168931,0.028206,0.082136,0.05211,-0.199501,-0.255258,-0.164669,-0.105189,-0.110342,-0.232164,-0.194655,-0.193166,-0.632906,-1.08428,-0.512901,-0.238517,-0.440161,-0.480994,-0.441603,-0.601218,-0.413659,-0.365774,-0.351296,-0.611364,-0.759552,-0.658495,-0.713839,-0.793998,-0.839711,-0.75545,-0.805578,-0.807707,-0.763565,-0.820232,-0.892176,-0.900827,-0.69023,-0.690234,-0.763813,-0.883107,-0.71229,-0.955061,-1.00073,-1.31615,-1.34285,-1.33756,-27.097076
Nigeria,-1.47845,-1.55156,-1.58372,-1.50863,-1.43376,-1.6612,-1.70208,-1.86444,-2.02801,-2.01528,-2.06088,-2.09044,-2.47587,-2.21442,-2.31682,-2.2981,-2.36218,-1.97928,-2.14511,-2.03079,-2.08999,-2.07325,-2.00898,-1.73325,-1.64319,-1.72468,-2.01211,-1.84259,-2.17527,-2.01377,-2.08403,-2.08757,-2.10242,-2.15015,-2.10267,-2.0675,-2.02891,-1.99444,-1.91639,-2.05963,-2.40836,-2.32188,-2.1849,-2.06466,-2.53077,-2.76425,-2.35951,-1.71191,-1.61348,-1.73702,-1.72001,-1.60088,-1.73247,-1.90268,-107.36459
Norway,1.43712,1.42403,1.4278,1.41304,1.38974,1.38927,1.31026,1.24371,1.23394,1.38708,1.30666,1.22566,1.12291,1.20319,1.13072,1.06658,1.02257,0.966306,0.999488,0.91962,0.855352,0.876663,0.866243,0.955728,1.01949,1.03702,1.03133,0.856934,0.886433,0.855982,0.836537,0.755938,0.761752,0.829814,0.928205,0.840261,0.771729,0.712675,0.66816,0.758139,0.775049,0.757271,0.716319,0.660506,0.563568,0.588332,0.635977,0.535507,0.571734,0.614676,0.667969,1.21126,1.19882,1.09466,52.315727
Oman,-0.152937,-0.567293,-0.880721,-0.546423,-1.33728,-1.40809,-1.1488,-1.35187,-1.13284,-0.852098,-0.379688,-0.814211,1.0337,0.327238,-0.509484,-0.612259,-0.124307,-0.036912,-0.719467,0.78725,0.573659,-0.116269,-0.861732,-0.812367,-0.064174,0.288311,-0.011874,-0.263525,-0.661055,-0.732341,-0.40115,-0.67748,-0.498061,-0.685378,-0.518991,-0.615451,-0.620443,-0.947925,-0.932646,-0.745175,-0.540399,-0.792679,-0.520017,-0.267441,-0.413821,-0.385965,-0.217931,-0.431956,-0.742942,-0.874505,-0.774658,-0.297732,-0.0404026,-0.0609077,-26.0919153
Pakistan,-0.381593,-0.186295,-0.302056,-0.196449,-0.367673,-0.368162,-0.231935,-0.247639,-0.317045,-0.280222,-0.101056,-0.025431,0.031359,0.079415,0.099332,0.031184,-0.115404,-0.13179,-0.073382,-0.159002,-0.10831,-0.215134,-0.28839,-0.383374,-0.490167,-0.638552,-0.547604,-0.56875,-0.608171,-0.70854,-0.817542,-0.79391,-0.831704,-0.81523,-0.825743,-0.799512,-0.835216,-0.809969,-0.689205,-0.751032,-0.770235,-0.789144,-0.628576,-0.562095,-0.521128,-0.549741,-0.595481,-0.752351,-0.805746,-1.03613,-0.86519,-0.922811,-0.935143,-0.859978,-26.363648
Panama,0.892571,0.925952,0.931072,0.702627,0.900246,0.885879,0.933754,0.606507,0.543671,0.467348,0.483249,0.388707,0.273613,0.118599,0.190321,0.133036,0.225306,0.37013,0.390468,0.315114,0.489499,0.102947,0.097218,-0.148231,-0.097236,0.01048,0.231381,0.169473,0.329985,0.139468,0.124251,0.091303,-0.035657,-0.014804,0.022614,0.033458,0.107499,0.131178,0.081602,0.033435,0.025462,0.036751,0.120865,0.262895,0.327072,0.406595,0.456574,0.630553,0.741643,0.710402,-0.558959,0.0789054,0.124958,0.119062,16.0608114
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.75799,-2.00821,-3.7662
