0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Movies
45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,My Neighbor Totoro 
49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,Akira
0,0,0,0,58990641,58990641,58990641,58990641,58990641,58990641,58990641,58990641,58990641,58990641,58990641,58990641,58990641,58990641,58990641,58990641,58990641,58990641,58990641,58990641,58990641,58990641,58990641,58990641,58990641,58990641,58990641,58990641,Porco Rosso
0,0,0,0,0,0,0,0,0,160799185,160799185,160799185,160799185,160799185,160799185,160799185,160799185,160799185,160799185,160799185,160799185,160799185,160799185,160799185,160799185,160799185,160799185,160799185,160799185,160799185,160799185,160799185,Princess Mononoke
0,0,0,0,0,0,0,0,0,0,172744662,172744662,172744662,172744662,172744662,172744662,172744662,172744662,172744662,172744662,172744662,172744662,172744662,172744662,172744662,172744662,172744662,172744662,172744662,172744662,172744662,172744662,Pokémon: The First Movie
0,0,0,0,0,0,0,0,0,0,0,133949270,133949270,133949270,133949270,133949270,133949270,133949270,133949270,133949270,133949270,133949270,133949270,133949270,133949270,133949270,133949270,133949270,133949270,133949270,133949270,133949270,Pokémon: The Movie 2000
0,0,0,0,0,0,0,0,0,0,0,0,70157342,70157342,70157342,70157342,70157342,70157342,70157342,70157342,70157342,70157342,70157342,70157342,70157342,70157342,70157342,70157342,70157342,70157342,70157342,70157342,Pokémon 3: The Movie
0,0,0,0,0,0,0,0,0,0,0,0,0,347742810,347742810,347742810,347742810,347742810,347742810,347742810,347742810,347742810,347742810,347742810,347742810,347742810,347742810,347742810,347742810,347742810,347742810,347742810,Spirited Away
0,0,0,0,0,0,0,0,0,0,0,0,0,0,53918847,53918847,53918847,53918847,53918847,53918847,53918847,53918847,53918847,53918847,53918847,53918847,53918847,53918847,53918847,53918847,53918847,53918847,The Cat Returns
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56386031,56386031,56386031,56386031,56386031,56386031,56386031,56386031,56386031,56386031,56386031,56386031,56386031,56386031,56386031,56386031,56386031,Pokémon: Jirachi Wish Maker
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235184110,235184110,235184110,235184110,235184110,235184110,235184110,235184110,235184110,235184110,235184110,235184110,235184110,235184110,235184110,235184110,Howl's Moving Castle
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54882404,54882404,54882404,54882404,54882404,54882404,54882404,54882404,54882404,54882404,54882404,54882404,54882404,54882404,54882404,54882404,Pokémon: Destiny Deoxys
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53879985,53879985,53879985,53879985,53879985,53879985,53879985,53879985,53879985,53879985,53879985,53879985,53879985,53879985,53879985,Pokémon: Lucario and the Mystery of Mew
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68673565,68673565,68673565,68673565,68673565,68673565,68673565,68673565,68673565,68673565,68673565,68673565,68673565,68673565,Tales from Earthsea
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203204882,203204882,203204882,203204882,203204882,203204882,203204882,203204882,203204882,203204882,203204882,203204882,Ponyo
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50673078,50673078,50673078,50673078,50673078,50673078,50673078,50673078,50673078,50673078,50673078,Pokémon: Arceus and the Jewel of Life
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61221810,61221810,61221810,61221810,61221810,61221810,61221810,61221810,61221810,61221810,61221810,One Piece Film: Strong World
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145570827,145570827,145570827,145570827,145570827,145570827,145570827,145570827,145570827,145570827,The Secret World of Arrietty
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71143529,71143529,71143529,71143529,71143529,71143529,71143529,71143529,71143529,71143529,Pokémon Zoroark: Master of Illusions
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61459425,61459425,61459425,61459425,61459425,61459425,61459425,61459425,61459425,From Up on Poppy Hill
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57082491,57082491,57082491,57082491,57082491,57082491,57082491,57082491,57082491,Pokémon: Black and White
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47024973,47024973,47024973,47024973,47024973,47024973,47024973,47024973,47024973,Detective Conan: Quarter of Silence
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67021068,67021068,67021068,67021068,67021068,67021068,67021068,67021068,Evangelion: 3.0 You Can (Not) Redo
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46008255,46008255,46008255,46008255,46008255,46008255,46008255,46008255,Pokémon the Movie: Kyurem vs. the Sword of Justice
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47043183,47043183,47043183,47043183,47043183,47043183,47043183,47043183,Doraemon: Nobita and the Island of Miracles—Animal Adventure
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88760381,88760381,88760381,88760381,88760381,88760381,88760381,88760381,One Piece Film: Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54999779,54999779,54999779,54999779,54999779,54999779,54999779,54999779,Wolf Children
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44068406,44068406,44068406,44068406,44068406,44068406,44068406,44068406,Detective Conan: The Eleventh Striker
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50353002,50353002,50353002,50353002,50353002,50353002,50353002,Dragon Ball Z: Battle of Gods
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46111353,46111353,46111353,46111353,46111353,46111353,46111353,Doraemon: Nobita's Secret Gadget Museum
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136333220,136333220,136333220,136333220,136333220,136333220,136333220,The Wind Rises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45281157,45281157,45281157,45281157,45281157,45281157,45281157,Lupin the 3rd vs. Detective Conan: The Movie
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80268947,80268947,80268947,80268947,80268947,80268947,Yo-kai Watch: The Movie
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183442714,183442714,183442714,183442714,183442714,183442714,Stand by Me Doraemon
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60985674,60985674,60985674,60985674,60985674,Detective Conan: Sunflowers of Inferno
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58850969,58850969,58850969,58850969,58850969,"Yo-kai Watch: Enma Daiō and the Five Tales, Meow!"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72636999,72636999,72636999,72636999,72636999,Dragon Ball Z: Resurrection 'F'
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66280000,66280000,66280000,66280000,Detective Conan: The Darkest Nightmare
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58400000,58400000,58400000,58400000,Doraemon: Nobita and the Birth of Japan 2016
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359275409,359275409,359275409,359275409,Your Name
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70840000,70840000,70840000,70840000,One Piece Film: Gold
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64450000,64450000,64450000,Detective Conan: The Crimson Love Letter
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65500000,65500000,65500000,Doraemon: Nobita's Great Adventure in the Antarctic Kachi Kochi
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83812757,83812757,Doraemon: Nobita's Treasure Island
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108105223,108105223,Detective Conan: Zero the Enforcer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124500000,124500000,Dragon Ball Super: Broly 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119875024,Detective Conan: The Fist of Blue Sapphire 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65406606,Doraemon: Nobita's Chronicle of the Moon Exploration 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94684223,One Piece: Stampede 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192704855,Weathering with You 
